,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,PLD,"Prologis, Inc.",119.33B,-0.29%,113148,8.02B
1,AMT,American Tower Corporation,92.03B,-0.77%,62872,11.14B
2,EQIX,"Equinix, Inc.",80.47B,0.74%,13482,8.19B
3,SPG,"Simon Property Group, Inc.",56.51B,0.03%,40093,5.66B
4,WELL,Welltower Inc.,51.97B,0.32%,57559,6.64B
5,PSA,Public Storage,48.81B,-0.19%,19730,4.52B
6,CCI,Crown Castle Inc.,45.93B,-1.00%,84819,6.98B
7,O,Realty Income Corporation,44.94B,-0.21%,367771,4.08B
8,DLR,"Digital Realty Trust, Inc.",44.90B,1.16%,130107,5.48B
9,CSGP,"CoStar Group, Inc.",38.87B,4.33%,586405,2.46B
10,EXR,Extra Space Storage Inc.,30.48B,-0.28%,23618,2.56B
11,VICI,VICI Properties Inc.,30.18B,-0.35%,221833,3.61B
12,CBRE,"CBRE Group, Inc.",28.49B,0.06%,31546,31.95B
13,AVB,"AvalonBay Communities, Inc.",26.11B,-0.05%,12427,2.77B
14,WY,Weyerhaeuser Company,25.04B,-0.28%,85532,7.67B
15,EQR,Equity Residential,23.92B,-0.06%,42740,2.87B
16,SBAC,SBA Communications Corporation,23.30B,-0.47%,18812,2.71B
17,IRM,Iron Mountain Incorporated,22.98B,-0.04%,49479,5.48B
18,ARE,"Alexandria Real Estate Equities, Inc.",21.65B,-0.11%,20337,2.89B
19,KSPI,Joint Stock Company Kaspi.kz,21.48B,0.31%,7086,4.25B
20,INVH,Invitation Homes Inc.,21.39B,-0.49%,109191,2.43B
21,BEKE,KE Holdings Inc.,17.56B,-0.93%,909062,10.97B
22,VTR,"Ventas, Inc.",17.10B,0.33%,132571,4.50B
23,SUI,"Sun Communities, Inc.",17.00B,-0.81%,18612,3.22B
24,ESS,"Essex Property Trust, Inc.",15.89B,-0.24%,7269,1.67B
25,MAA,"Mid-America Apartment Communities, Inc.",15.62B,-0.08%,12921,2.15B
26,AMH,American Homes 4 Rent,15.15B,-0.12%,70502,1.62B
27,HST,"Host Hotels & Resorts, Inc.",14.64B,0.44%,189474,5.31B
28,UDR,"UDR, Inc.",13.22B,-0.48%,75743,1.63B
29,ELS,"Equity LifeStyle Properties, Inc.",12.80B,-0.52%,19055,1.49B
30,KIM,Kimco Realty Corporation,12.70B,-,148931,1.78B
31,GLPI,"Gaming and Leisure Properties, Inc.",12.26B,0.17%,49886,1.44B
32,WPC,W. P. Carey Inc.,12.24B,-0.34%,106612,1.74B
33,DOC,"Healthpeak Properties, Inc.",12.12B,-0.64%,291155,2.18B
34,LAMR,Lamar Advertising Company,11.85B,0.07%,32392,2.11B
35,REXR,"Rexford Industrial Realty, Inc.",11.34B,-0.06%,44293,797.83M
36,REG,Regency Centers Corporation,10.97B,0.14%,28344,1.32B
37,CPT,Camden Property Trust,10.54B,-0.37%,17805,1.56B
38,BXP,"Boston Properties, Inc.",9.83B,0.43%,38394,3.27B
39,NLY,"Annaly Capital Management, Inc.",9.74B,-0.33%,251406,-1.44B
40,CUBE,CubeSmart,9.68B,-0.15%,43606,1.05B
41,JLL,Jones Lang LaSalle Incorporated,8.71B,0.38%,6578,20.76B
42,EGP,"EastGroup Properties, Inc.",8.45B,0.36%,16433,570.59M
43,FRT,Federal Realty Investment Trust,8.29B,0.10%,17921,1.13B
44,OHI,"Omega Healthcare Investors, Inc.",7.76B,0.59%,56806,949.74M
45,FSV,FirstService Corporation,7.57B,0.12%,2168,4.33B
46,NNN,NNN REIT Inc,7.57B,0.35%,42153,828.11M
47,COLD,"Americold Realty Trust, Inc.",7.19B,-0.24%,27151,2.67B
48,FR,"First Industrial Realty Trust, Inc.",7.08B,0.08%,13808,614.03M
49,STAG,"STAG Industrial, Inc.",6.92B,0.39%,43708,707.84M
50,RHP,"Ryman Hospitality Properties, Inc.",6.88B,0.11%,9824,2.16B
51,AGNC,AGNC Investment Corp.,6.70B,-0.16%,853238,251.00M
52,BRX,Brixmor Property Group Inc.,6.67B,0.20%,94923,1.25B
53,STWD,"Starwood Property Trust, Inc.",6.50B,0.37%,120262,2.05B
54,CIGI,Colliers International Group Inc.,5.96B,0.68%,3791,4.34B
55,ADC,Agree Realty Corporation,5.71B,-0.57%,39628,537.50M
56,TRNO,Terreno Realty Corporation,5.49B,0.64%,17118,323.59M
57,VNO,Vornado Realty Trust,5.28B,0.04%,42818,1.81B
58,RITM,Rithm Capital Corp.,5.28B,-0.18%,251410,3.69B
59,HR,Healthcare Realty Trust Incorporated,5.02B,-0.27%,299269,1.34B
60,RYN,Rayonier Inc.,4.99B,0.51%,12518,1.06B
61,NSA,National Storage Affiliates Trust,4.88B,0.44%,37069,858.06M
62,PECO,"Phillips Edison & Company, Inc.",4.79B,0.37%,13912,610.12M
63,KRG,Kite Realty Group Trust,4.63B,-0.31%,40320,823.00M
64,AIRC,Apartment Income REIT Corp.,4.59B,-0.95%,31983,820.04M
65,EPRT,"Essential Properties Realty Trust, Inc.",4.31B,-0.43%,26400,359.60M
66,KRC,Kilroy Realty Corporation,4.11B,0.12%,14824,1.13B
67,APLE,"Apple Hospitality REIT, Inc.",3.91B,0.37%,49728,1.34B
