,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,BRK.B,Berkshire Hathaway Inc.,885.23B,0.09%,588618,439.34B
1,V,Visa Inc.,581.38B,0.77%,594244,33.35B
2,JPM,JPMorgan Chase & Co.,548.13B,0.53%,1252520,158.10B
3,MA,Mastercard Incorporated,443.90B,0.61%,205271,25.10B
4,BAC,Bank of America Corporation,279.41B,1.03%,5153825,98.58B
5,WFC,Wells Fargo & Company,205.74B,0.07%,1571384,82.60B
6,AXP,American Express Company,158.14B,0.77%,182717,55.59B
7,BX,Blackstone Inc.,151.45B,-0.20%,352551,8.02B
8,HSBC,HSBC Holdings plc,145.23B,0.75%,535002,66.06B
9,MS,Morgan Stanley,144.53B,-0.16%,691766,54.14B
10,RY,Royal Bank of Canada,140.59B,-0.39%,57742,40.69B
11,HDB,HDFC Bank Limited,139.85B,1.39%,515295,13.76B
12,SPGI,S&P Global Inc.,132.80B,0.38%,136417,12.50B
13,GS,"The Goldman Sachs Group, Inc.",126.06B,-0.47%,200063,46.25B
14,SCHW,The Charles Schwab Corporation,122.31B,0.10%,778175,18.84B
15,PGR,The Progressive Corporation,120.00B,0.34%,232108,62.11B
16,MUFG,"Mitsubishi UFJ Financial Group, Inc.",119.87B,1.48%,608756,30.79B
17,BLK,"BlackRock, Inc.",119.53B,-0.71%,66099,17.86B
18,C,Citigroup Inc.,110.11B,0.88%,1885933,78.46B
19,TD,The Toronto-Dominion Bank,106.27B,-0.23%,217808,36.86B
20,CB,Chubb Limited,103.99B,0.18%,84949,49.74B
21,UBS,UBS Group AG,102.46B,-0.88%,469996,37.16B
22,MMC,"Marsh & McLennan Companies, Inc.",101.45B,0.16%,89760,22.74B
23,IBN,ICICI Bank Limited,91.42B,0.25%,834731,22.65B
24,KKR,KKR & Co. Inc.,86.01B,-0.94%,430765,14.50B
25,CME,CME Group Inc.,78.30B,0.63%,131873,5.58B
26,ICE,"Intercontinental Exchange, Inc.",77.10B,0.01%,196675,9.90B
27,SMFG,"Sumitomo Mitsui Financial Group, Inc.",75.84B,1.04%,137010,28.63B
28,SAN,"Banco Santander, S.A.",70.49B,0.79%,556699,62.71B
29,MCO,Moody's Corporation,70.13B,1.06%,94086,5.92B
30,BMO,Bank of Montreal,68.11B,-0.53%,33509,24.15B
31,PYPL,"PayPal Holdings, Inc.",67.36B,1.81%,3282543,29.77B
32,ITUB,Itaú Unibanco Holding S.A.,67.26B,0.51%,2652983,21.85B
33,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",66.18B,-0.40%,150651,35.71B
34,USB,U.S. Bancorp,65.57B,-0.48%,1084317,25.74B
35,BN,Brookfield Corporation,64.01B,-0.12%,202036,100.98B
36,AON,Aon plc,63.26B,0.02%,93090,13.38B
37,APO,"Apollo Global Management, Inc.",62.73B,0.09%,224857,32.64B
38,BNS,The Bank of Nova Scotia,60.88B,-0.26%,139840,24.42B
39,PNC,"The PNC Financial Services Group, Inc.",59.19B,-0.03%,118784,21.49B
40,NU,Nu Holdings Ltd.,55.33B,0.39%,3905551,8.03B
41,AJG,Arthur J. Gallagher & Co.,54.89B,0.05%,102638,10.07B
42,MET,"MetLife, Inc.",52.34B,-0.03%,249239,66.91B
43,AIG,"American International Group, Inc.",51.94B,-0.03%,526900,46.80B
44,COF,Capital One Financial Corporation,51.56B,0.07%,324762,26.36B
45,ING,ING Groep N.V.,50.64B,1.04%,781902,24.54B
46,TRV,"The Travelers Companies, Inc.",50.62B,-,78793,41.36B
47,MFG,"Mizuho Financial Group, Inc.",50.06B,1.01%,172737,15.13B
48,AFL,Aflac Incorporated,48.68B,0.36%,289859,18.70B
49,TFC,Truist Financial Corporation,46.52B,-0.16%,943424,21.28B
50,CM,Canadian Imperial Bank of Commerce,46.17B,-0.19%,106513,17.63B
51,IBKR,"Interactive Brokers Group, Inc.",44.78B,0.53%,48177,4.34B
52,MFC,Manulife Financial Corporation,43.62B,0.25%,180363,25.32B
53,MSCI,MSCI Inc.,43.16B,1.33%,85271,2.53B
54,BSBR,Banco Santander (Brasil) S.A.,42.73B,-,74863,65.86B
55,ALL,The Allstate Corporation,42.67B,-0.07%,195701,57.09B
56,AMP,"Ameriprise Financial, Inc.",42.07B,1.11%,57533,15.54B
57,ARES,Ares Management Corporation,41.15B,-0.83%,257769,3.63B
58,BK,The Bank of New York Mellon Corporation,40.96B,0.06%,363838,17.50B
59,PRU,"Prudential Financial, Inc.",40.53B,0.23%,105234,53.98B
60,LYG,Lloyds Banking Group plc,40.28B,-0.20%,2264436,61.65B
61,BCS,Barclays PLC,34.57B,-0.33%,3742180,32.12B
62,ACGL,Arch Capital Group Ltd.,34.38B,-0.49%,147491,13.63B
63,NDAQ,"Nasdaq, Inc.",34.33B,1.64%,364008,6.06B
64,SLF,Sun Life Financial Inc.,31.89B,0.29%,25709,23.18B
65,DFS,Discover Financial Services,30.13B,-0.30%,161108,9.84B
66,BBD,Banco Bradesco S.A.,30.05B,0.53%,1396102,15.48B
67,DB,Deutsche Bank Aktiengesellschaft,29.54B,-0.81%,1477955,32.94B
68,HIG,"The Hartford Financial Services Group, Inc.",29.46B,0.21%,107025,24.53B
69,PUK,Prudential plc,28.20B,-1.51%,96125,10.20B
70,WTW,Willis Towers Watson PLC,27.87B,0.06%,27116,9.48B
71,NWG,NatWest Group plc,27.35B,-0.72%,304859,14.75B
72,SYM,Symbotic Inc.,26.70B,-1.94%,268336,1.34B
73,TROW,"T. Rowe Price Group, Inc.",25.69B,-0.28%,99989,6.46B
74,RJF,"Raymond James Financial, Inc.",25.24B,0.19%,48272,11.85B
75,IX,ORIX Corporation,24.74B,1.60%,1610,19.11B
76,OWL,Blue Owl Capital Inc.,24.73B,0.26%,272177,1.73B
77,RKT,"Rocket Companies, Inc.",24.46B,2.48%,691764,3.80B
78,BRO,"Brown & Brown, Inc.",24.28B,0.20%,51513,4.26B
79,FITB,Fifth Third Bancorp,24.09B,-0.18%,392550,8.19B
80,MTB,M&T Bank Corporation,23.42B,-0.70%,111017,9.00B
81,TW,Tradeweb Markets Inc.,22.69B,0.70%,52298,1.34B
82,FCNCA,"First Citizens BancShares, Inc.",22.25B,0.68%,3222,17.41B
83,FCNCO,"First Citizens BancShares, Inc.",22.24B,-,157,17.41B
84,WRB,W. R. Berkley Corporation,21.94B,-0.40%,96069,12.14B
85,STT,State Street Corporation,21.89B,-0.69%,312250,11.95B
86,KB,KB Financial Group Inc.,21.81B,-2.04%,118827,3.19B
87,ERIE,Erie Indemnity Company,21.79B,-0.15%,6717,3.27B
88,LPLA,LPL Financial Holdings Inc.,19.99B,-0.06%,23261,10.05B
89,MKL,Markel Corporation,19.97B,-0.10%,4805,15.80B
90,PFG,"Principal Financial Group, Inc.",19.47B,0.39%,160590,13.67B
91,CBOE,"Cboe Global Markets, Inc.",19.38B,0.45%,44395,3.77B
92,SHG,"Shinhan Financial Group Co., Ltd.",19.22B,-0.54%,17348,7.06B
93,HBAN,Huntington Bancshares Incorporated,19.00B,-0.77%,1799136,6.96B
94,CINF,Cincinnati Financial Corporation,18.78B,-1.04%,102206,10.01B
95,NMR,"Nomura Holdings, Inc.",18.42B,2.85%,463190,10.09B
96,FDS,FactSet Research Systems Inc.,18.13B,0.80%,28418,2.12B
97,RF,Regions Financial Corporation,17.51B,0.29%,953519,7.02B
98,L,Loews Corporation,17.10B,0.22%,94197,15.90B
99,EG,"Everest Group, Ltd.",17.04B,-0.27%,34733,14.59B
100,SYF,Synchrony Financial,17.00B,-0.69%,380948,7.66B
101,NTRS,Northern Trust Corporation,16.62B,-0.01%,106583,6.75B
102,TPG,TPG Inc.,16.09B,-0.82%,27092,2.39B
103,CG,The Carlyle Group Inc.,16.09B,0.31%,149679,2.96B
104,BAM,Brookfield Asset Management Inc.,15.99B,-0.39%,91729,4.01B
105,CRBG,"Corebridge Financial, Inc.",15.82B,0.96%,507647,18.88B
106,CFG,"Citizens Financial Group, Inc.",15.35B,-0.19%,509640,7.54B
