,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,LLY,Eli Lilly and Company,716.59B,1.33%,391480,34.12B
1,NVO,Novo Nordisk A/S,590.69B,0.48%,1076036,34.41B
2,UNH,UnitedHealth Group Incorporated,452.50B,-0.24%,299996,371.62B
3,JNJ,Johnson & Johnson,381.18B,-0.61%,851517,85.16B
4,ABBV,AbbVie Inc.,314.22B,0.01%,937563,54.32B
5,MRK,"Merck & Co., Inc.",307.77B,0.07%,893163,60.12B
6,TMO,Thermo Fisher Scientific Inc.,222.74B,-0.94%,132545,42.86B
7,AZN,AstraZeneca PLC,206.42B,-0.23%,783794,45.81B
8,ABT,Abbott Laboratories,200.40B,-0.56%,1719579,40.11B
9,NVS,Novartis AG,198.82B,-0.53%,294752,46.66B
10,DHR,Danaher Corporation,184.48B,0.31%,294438,23.89B
11,PFE,Pfizer Inc.,158.21B,-0.30%,6489395,58.50B
12,AMGN,Amgen Inc.,144.09B,0.78%,356036,28.19B
13,ISRG,"Intuitive Surgical, Inc.",140.46B,-0.48%,242988,7.12B
14,SYK,Stryker Corporation,133.94B,0.75%,94016,20.50B
15,SNY,Sanofi,120.68B,-0.64%,171303,51.60B
16,ELV,Elevance Health Inc.,119.38B,-0.37%,55079,171.34B
17,MDT,Medtronic plc,110.97B,-0.15%,613557,32.32B
18,REGN,"Regeneron Pharmaceuticals, Inc.",105.86B,-0.05%,31860,13.12B
19,BMY,Bristol-Myers Squibb Company,105.84B,-1.16%,3230213,45.01B
20,VRTX,Vertex Pharmaceuticals Incorporated,105.31B,0.98%,119425,9.87B
21,CI,Cigna Corporation,102.92B,0.06%,96192,195.27B
22,CVS,CVS Health Corporation,97.40B,-0.35%,1111463,357.78B
23,BSX,Boston Scientific Corporation,97.17B,0.56%,777125,14.24B
24,GILD,"Gilead Sciences, Inc.",91.80B,-0.33%,708829,27.12B
25,GSK,GSK plc,87.68B,0.09%,330604,38.39B
26,HCA,"HCA Healthcare, Inc.",85.16B,0.92%,66218,64.97B
27,ZTS,Zoetis Inc.,79.01B,0.10%,689905,8.54B
28,MCK,McKesson Corporation,70.12B,0.37%,65841,301.51B
29,BDX,"Becton, Dickinson and Company",68.39B,0.35%,173626,19.49B
30,EW,Edwards Lifesciences Corporation,55.51B,0.18%,294025,6.00B
31,DXCM,"DexCom, Inc.",50.29B,2.86%,346484,3.62B
32,IQV,IQVIA Holdings Inc.,46.00B,-0.10%,42586,14.98B
33,TAK,Takeda Pharmaceutical Company Limited,45.51B,0.93%,143021,29.40B
34,IDXX,"IDEXX Laboratories, Inc.",44.02B,0.84%,34394,3.66B
35,A,"Agilent Technologies, Inc.",43.22B,-0.64%,156111,6.74B
36,ALC,Alcon Inc.,42.12B,-0.18%,83845,9.46B
37,HUM,Humana Inc.,41.97B,0.10%,129028,106.37B
38,GEHC,GE HealthCare Technologies Inc.,40.71B,0.92%,402470,19.55B
39,CNC,Centene Corporation,40.37B,0.24%,279218,154.00B
40,MRNA,"Moderna, Inc.",39.68B,2.16%,485673,6.85B
41,COR,Cencora,38.52B,0.60%,210944,271.58B
42,HLN,Haleon plc,38.41B,-1.44%,1299734,14.31B
43,VEEV,Veeva Systems Inc.,36.55B,0.56%,70245,2.36B
44,BIIB,Biogen Inc.,31.88B,-0.55%,116207,9.84B
45,MTD,Mettler-Toledo International Inc.,28.45B,-0.62%,18541,3.79B
46,WST,"West Pharmaceutical Services, Inc.",28.38B,1.14%,41842,2.95B
47,RMD,ResMed Inc.,27.95B,0.18%,93659,4.50B
48,ICLR,ICON PLC,27.62B,0.28%,24127,8.12B
49,CAH,"Cardinal Health, Inc.",26.90B,0.30%,229019,216.15B
50,ZBH,"Zimmer Biomet Holdings, Inc.",25.67B,0.60%,145212,7.39B
51,MOH,"Molina Healthcare, Inc.",23.62B,0.33%,15571,34.07B
52,ALGN,"Align Technology, Inc.",23.61B,0.47%,50813,3.86B
53,STE,STERIS plc,22.73B,0.34%,14125,5.41B
54,ARGX,argenx SE,22.59B,-2.07%,65392,39.48M
55,BNTX,BioNTech SE,21.98B,0.77%,75475,7.04B
56,BAX,Baxter International Inc.,21.13B,-0.06%,349547,14.81B
57,WAT,Waters Corporation,20.89B,-1.18%,39704,2.96B
58,ILMN,"Illumina, Inc.",20.30B,-1.30%,114634,4.50B
59,COO,"The Cooper Companies, Inc.",20.02B,0.05%,104493,3.67B
60,PHG,Koninklijke Philips N.V.,19.68B,-0.85%,172492,20.19B
61,GMAB,Genmab A/S,19.54B,-0.17%,58430,2.44B
62,ALNY,"Alnylam Pharmaceuticals, Inc.",18.80B,-0.67%,29681,1.83B
63,BGNE,"BeiGene, Ltd.",18.71B,0.08%,21945,2.46B
64,RPRX,Royalty Pharma plc,17.98B,-0.28%,201643,2.35B
65,WBA,"Walgreens Boots Alliance, Inc.",17.95B,0.10%,1302399,142.41B
66,HOLX,"Hologic, Inc.",17.82B,0.55%,81447,3.97B
67,LH,Laboratory Corporation of America Holdings,17.59B,-0.95%,45416,12.16B
68,BMRN,BioMarin Pharmaceutical Inc.,15.82B,0.11%,101492,2.42B
69,TEVA,Teva Pharmaceutical Industries Limited,15.17B,0.30%,590860,15.85B
70,DGX,Quest Diagnostics Incorporated,14.20B,-1.28%,58057,9.25B
71,VTRS,Viatris Inc.,14.18B,-0.59%,630936,15.43B
72,NBIX,"Neurocrine Biosciences, Inc.",13.84B,1.42%,93190,1.89B
73,CRL,"Charles River Laboratories International, Inc.",13.30B,0.73%,40624,4.13B
74,INCY,Incyte Corporation,13.11B,-0.30%,142006,3.70B
75,RVTY,"Revvity, Inc.",12.96B,-1.44%,86685,2.75B
