,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,MSFT,Microsoft Corporation,"3,094.18B",0.94%,4582844,227.58B
1,AAPL,Apple Inc,"2,665.58B",2.48%,20963381,385.71B
2,NVDA,NVIDIA Corporation,"2,195.91B",3.60%,16495013,60.92B
3,TSM,Taiwan Semiconductor Manufacturing Company Limited,710.52B,2.11%,3989678,70.35B
4,AVGO,Broadcom Inc.,572.56B,0.82%,567688,38.87B
5,ASML,ASML Holding N.V.,380.77B,1.32%,221797,30.62B
6,ORCL,Oracle Corporation,345.05B,2.60%,2374461,52.51B
7,AMD,"Advanced Micro Devices, Inc.",308.71B,-0.49%,16396485,22.68B
8,CRM,"Salesforce, Inc.",285.50B,1.25%,1159436,34.86B
9,ACN,Accenture plc,234.87B,0.31%,181502,64.59B
10,SAP,SAP SE,223.59B,-0.31%,123027,34.01B
11,ADBE,Adobe Inc.,222.86B,1.68%,1322758,19.41B
12,CSCO,"Cisco Systems, Inc.",198.13B,1.24%,2111426,57.23B
13,QCOM,QUALCOMM Incorporated,186.60B,0.75%,1229449,36.29B
14,INTC,Intel Corporation,180.28B,1.22%,4854798,54.23B
15,IBM,International Business Machines Corporation,175.16B,-0.06%,489181,61.86B
16,INTU,Intuit Inc.,175.13B,1.06%,208260,15.09B
17,AMAT,"Applied Materials, Inc.",165.06B,1.73%,549193,26.49B
18,UBER,"Uber Technologies, Inc.",157.96B,-1.64%,4897660,37.28B
19,TXN,Texas Instruments Incorporated,157.00B,0.22%,531936,17.52B
20,NOW,"ServiceNow, Inc.",152.50B,1.38%,136891,8.97B
21,LRCX,Lam Research Corporation,119.32B,2.29%,164117,14.32B
22,SONY,Sony Group Corporation,108.05B,2.24%,123830,88.88B
23,MU,"Micron Technology, Inc.",102.94B,2.07%,7848166,16.18B
24,SHOP,Shopify Inc.,99.31B,-0.04%,1054627,7.06B
25,ADI,"Analog Devices, Inc.",96.80B,0.25%,315597,11.57B
26,KLAC,KLA Corporation,92.49B,2.13%,73636,9.67B
27,PANW,"Palo Alto Networks, Inc.",91.17B,0.45%,599581,7.53B
28,FI,"Fiserv, Inc.",88.34B,1.14%,235406,19.09B
29,ANET,"Arista Networks, Inc.",86.83B,3.33%,343048,5.86B
30,SNPS,"Synopsys, Inc.",83.90B,2.07%,108295,6.13B
31,INFY,Infosys Limited,81.53B,-0.36%,1984591,18.21B
32,CDNS,"Cadence Design Systems, Inc.",81.25B,1.21%,147817,4.09B
33,ARM,Arm Holdings plc,77.65B,2.43%,1695416,2.96B
34,CRWD,"CrowdStrike Holdings, Inc.",76.35B,0.82%,647184,3.06B
35,DELL,Dell Technologies Inc.,75.58B,-0.31%,2938928,88.43B
36,WDAY,"Workday, Inc.",70.87B,0.90%,165823,7.26B
37,APH,Amphenol Corporation,65.56B,0.87%,288487,12.55B
38,NXPI,NXP Semiconductors N.V.,60.92B,1.00%,216714,13.28B
39,SMCI,"Super Micro Computer, Inc.",59.78B,-2.18%,2842514,9.25B
40,COIN,"Coinbase Global, Inc.",58.72B,-1.42%,2680941,3.11B
41,MRVL,"Marvell Technology, Inc.",57.91B,0.21%,1900534,5.51B
42,MSI,"Motorola Solutions, Inc.",57.18B,0.68%,69450,9.98B
43,ADSK,"Autodesk, Inc.",54.39B,1.43%,85752,5.50B
44,PLTR,Palantir Technologies Inc.,51.98B,0.98%,12656151,2.23B
45,SNOW,Snowflake Inc.,51.61B,-0.18%,1425040,2.81B
46,FTNT,"Fortinet, Inc.",50.91B,1.57%,497374,5.30B
47,TEAM,Atlassian Corporation,50.44B,0.90%,255978,3.89B
48,SQ,"Block, Inc.",49.36B,0.07%,1768500,21.92B
49,MCHP,Microchip Technology Incorporated,47.90B,0.77%,399902,8.54B
50,TEL,TE Connectivity Ltd.,42.97B,0.86%,226925,16.02B
51,STM,ST Microelectronics,42.89B,0.73%,655084,17.29B
52,DDOG,"Datadog, Inc.",39.96B,1.08%,291810,2.13B
53,FIS,"Fidelity National Information Services, Inc.",39.85B,-0.27%,351591,9.82B
54,TTD,"The Trade Desk, Inc.",37.51B,1.80%,304743,1.95B
55,CTSH,Cognizant Technology Solutions Corporation,37.50B,-0.08%,510456,19.35B
56,IT,"Gartner, Inc.",36.72B,0.74%,20811,5.91B
57,MPWR,"Monolithic Power Systems, Inc.",33.43B,-0.15%,53563,1.82B
58,CDW,CDW Corporation,32.95B,0.41%,54243,21.38B
59,WIT,Wipro Limited,32.51B,-1.39%,290261,11.04B
60,ON,ON Semiconductor Corporation,31.99B,-0.37%,686742,8.25B
61,NET,"Cloudflare, Inc.",30.93B,1.36%,510835,1.30B
62,HUBS,"HubSpot, Inc.",30.46B,0.23%,41065,2.17B
63,MSTR,MicroStrategy Incorporated,30.24B,-5.45%,1170497,496.26M
64,FICO,Fair Isaac Corporation,30.12B,1.29%,34418,1.55B
65,FTV,Fortive Corporation,29.99B,0.11%,107227,6.07B
66,HPQ,HP Inc.,29.77B,-2.24%,1649698,53.11B
67,ZS,"Zscaler, Inc.",29.08B,-0.78%,580022,1.90B
68,GFS,GLOBALFOUNDRIES Inc.,28.70B,1.77%,169440,7.39B
69,ANSS,"ANSYS, Inc.",28.53B,1.64%,38994,2.27B
70,GRMN,Garmin Ltd.,27.95B,0.36%,36625,5.23B
71,GLW,Corning Incorporated,27.75B,-0.11%,261047,12.59B
72,GIB,CGI Inc.,27.17B,-0.59%,21104,-
73,SPLK,Splunk Inc.,26.44B,-,18211874,4.22B
74,KEYS,"Keysight Technologies, Inc.",26.15B,0.31%,74297,5.34B
75,MDB,"MongoDB, Inc.",25.86B,-0.20%,199203,1.68B
76,TEF,"Telefónica, S.A.",24.51B,-0.35%,61416,45.17B
77,BR,"Broadridge Financial Solutions, Inc.",23.58B,-0.21%,13450,6.32B
78,ASX,"ASE Technology Holding Co., Ltd.",23.30B,3.19%,693343,18.94B
79,HPE,Hewlett Packard Enterprise Company,21.75B,2.39%,2249658,28.08B
